Kompozice,Cena,Lokalita,Velikost,Velikost_s_jednotkou
3+1,10950.0,"Hlavní třída, Ostrava - Poruba",74,74 m²
2+1,9000.0,"Panelová, Ostrava - Poruba",51,51 m²
4+1,23600.0,"Přibylova, Ostrava - Kunčice",118,118 m²
3+1,10000.0,"Jaromíra Matuška, Ostrava - Dubina",69,69 m²
1+1,11500.0,"Lumírova, Ostrava - Výškovice",39,39 m²
3+1,18800.0,"Badatelů, Ostrava - Poruba",65,65 m²
2+kk,10000.0,"Španielova, Ostrava - Poruba",43,43 m²
3+1,15500.0,"Emanuela Podgorného, Ostrava - Dubina",71,71 m²
2+kk,13000.0,"Nádražní, Ostrava - Moravská Ostrava",60,60 m²
3+kk,49000.0,"Křižíkova, Ostrava - Moravská Ostrava",68,68 m²
4+kk,25000.0,"Pavlovova, Ostrava - Zábřeh",102,102 m²
2+1,16000.0,"Jubilejní, Ostrava - Hrabůvka",49,49 m²
3+1,11500.0,"Na Vyhlídce, Vratimov",86,86 m²
1+1,10990.0,"Klegova, Ostrava - Hrabůvka",38,38 m²
1+1,10000.0,"Čujkovova, Ostrava - Zábřeh",29,29 m²
1+1,7580.0,"Jana Ziky, Ostrava - Poruba",38,38 m²
5+1,32000.0,"Sadová, Ostrava - Moravská Ostrava",117,117 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+kk,10000.0,"Alšovo náměstí, Ostrava - Poruba",57,57 m²
4+kk,29000.0,"Jubilejní, Ostrava - Hrabůvka",100,100 m²
2+1,11150.0,"Komenského, Ostrava - Poruba",56,56 m²
3+kk,14000.0,"náměstí Družby, Ostrava - Poruba",60,60 m²
1+1,10900.0,"Komenského, Ostrava - Poruba",33,33 m²
3+1,11500.0,"Opavská, Ostrava",74,74 m²
1+kk,8900.0,"Průkopnická, Ostrava - Zábřeh",32,32 m²
2+1,12800.0,"Nálepkova, Ostrava - Poruba",54,54 m²
3+1,18000.0,"Aviatiků, Ostrava - Hrabůvka",80,80 m²
3+kk,32000.0,"F. X. Riepla, Ostrava - Moravská Ostrava",79,79 m²
2+1,10100.0,"Vlasty Vlasákové, Ostrava - Bělský Les",44,44 m²
2+kk,22000.0,Ostrava,60,60 m²
2+kk,26500.0,"Jantarová, Ostrava - Moravská Ostrava",70,70 m²
2+1,14700.0,"Bohumínská, Ostrava - Slezská Ostrava",56,56 m²
3+1,15200.0,"Dr. Martínka, Ostrava - Hrabůvka",63,63 m²
3+1,12000.0,"Svornosti, Ostrava - Zábřeh",65,65 m²
2+1,10000.0,"Stavbařů, Ostrava - Hrabůvka",53,53 m²
3+1,14100.0,"Karla Pokorného, Ostrava - Poruba",71,71 m²
2+kk,7550.0,"Adamusova, Ostrava - Hrabůvka",36,36 m²
1+1,8900.0,Ostrava,50,50 m²
2+1,10500.0,"Mariánskohorská, Ostrava - Moravská Ostrava a Přívoz",65,65 m²
1+kk,6500.0,"Krakovská, Ostrava - Hrabůvka",24,24 m²
1+kk,5400.0,"Jílová, Ostrava - Moravská Ostrava",35,35 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
3+1,16000.0,"Alžírská, Ostrava - Poruba",69,69 m²
3+kk,14000.0,"Hornická, Ostrava - Moravská Ostrava",57,57 m²
2+1,9000.0,"Olbrachtova, Ostrava - Slezská Ostrava",68,68 m²
1+kk,6990.0,"Ráčkova, Ostrava",32,32 m²
1+kk,9200.0,"Horní, Ostrava - Bělský Les",34,34 m²
2+1,13500.0,"Bohumínská, Ostrava - Slezská Ostrava",54,54 m²
3+1,13500.0,"Hlavní třída, Ostrava - Poruba",80,80 m²
2+1,13101.0,"Starobělská, Ostrava - Zábřeh",40,40 m²
1+1,,"Tovární, Ostrava - Mariánské Hory",58,58 m²
2+1,13500.0,"Dr. Martínka, Ostrava - Hrabůvka",51,51 m²
2+kk,12932.0,"Lidická, Ostrava - Vítkovice",50,50 m²
2+1,13000.0,"Janáčkova, Ostrava - Moravská Ostrava",60,60 m²
2+kk,12900.0,"S. K. Neumanna, Ostrava - Moravská Ostrava",50,50 m²
2+kk,18000.0,"U Soudu, Ostrava - Poruba",49,49 m²
2+1,9000.0,"Dvouletky, Ostrava - Hrabůvka",53,53 m²
4+kk,33000.0,"Heřmánková, Ostrava - Heřmanice",93,93 m²
2+kk,19900.0,"Keltičkova, Ostrava - Slezská Ostrava",70,70 m²
3+kk,24500.0,"Keltičkova, Ostrava - Slezská Ostrava",77,77 m²
1+1,9300.0,"Čs. exilu, Ostrava - Poruba",58,58 m²
2+1,10000.0,"Vdovská, Ostrava - Muglinov",54,54 m²
2+1,10650.0,"Svazácká, Ostrava - Zábřeh",50,50 m²
3+kk,19900.0,"Slavníkovců, Ostrava - Mariánské Hory",86,86 m²
2+1,9000.0,"Slepá, Ostrava - Poruba",55,55 m²
2+kk,19500.0,"Jantarová, Ostrava - Moravská Ostrava",60,60 m²
2+1,13500.0,"Oblá, Ostrava - Mariánské Hory",81,81 m²
2+kk,19000.0,"Jantarová, Ostrava - Moravská Ostrava",54,54 m²
2+1,11800.0,"Bohumínská, Ostrava - Slezská Ostrava",56,56 m²
3+1,16500.0,"Bohumínská, Ostrava - Slezská Ostrava",65,65 m²
1+1,4990.0,"Arbesova, Ostrava - Přívoz",34,34 m²
1+1,9000.0,"Franklinova, Ostrava - Vítkovice",38,38 m²
1+1,14000.0,"Varenská, Ostrava - Moravská Ostrava",38,38 m²
2+1,8332.0,"Otakara Jeremiáše, Ostrava - Poruba",57,57 m²
1+kk,6500.0,"Krakovská, Ostrava - Hrabůvka",24,24 m²
1+1,8000.0,"Korunní, Ostrava - Mariánské Hory",49,49 m²
1+1,9500.0,"Nádražní, Ostrava - Moravská Ostrava",49,49 m²
1+1,11000.0,"Alšovo náměstí, Ostrava - Poruba",38,38 m²
1+kk,9000.0,"Cihelní, Ostrava - Moravská Ostrava",20,20 m²
4+kk,14000.0,"Veleslavínova, Ostrava - Moravská Ostrava",65,65 m²
2+kk,13000.0,"Cihelní, Ostrava - Moravská Ostrava",57,57 m²
1+kk,6500.0,"Krakovská, Ostrava - Hrabůvka",28,28 m²
2+kk,8000.0,"Korunní, Ostrava - Mariánské Hory",49,49 m²
2+1,10650.0,"Svazácká, Ostrava - Zábřeh",50,50 m²
1+kk,12000.0,"Kamenná, Ostrava - Martinov",34,34 m²
3+1,15500.0,"Svornosti, Ostrava - Ostrava-Jih",73,73 m²
3+kk,15000.0,"U Parku, Ostrava - Moravská Ostrava",83,83 m²
2+1,12990.0,"Volgogradská, Ostrava - Zábřeh",53,53 m²
3+kk,15500.0,"Dvořákova, Ostrava - Moravská Ostrava",66,66 m²
,8000.0,"Nádražní, Ostrava - Moravská Ostrava a Přívoz",18,18 m²
3+1,12000.0,"Želazného, Ostrava - Muglinov",73,73 m²
4+1,15000.0,"Zámecká, Ostrava - Moravská Ostrava",125,125 m²
3+1,13800.0,"Ivana Sekaniny, Ostrava - Poruba",72,72 m²
2+1,12500.0,"Sologubova, Ostrava - Zábřeh",49,49 m²
3+1,13900.0,"Josefa Skupy, Ostrava - Poruba",68,68 m²
3+1,16000.0,"Bieblova, Ostrava - Moravská Ostrava",78,78 m²
3+1,15000.0,"Jindřichova, Ostrava - Moravská Ostrava",97,97 m²
2+kk,9500.0,"Vršovců, Ostrava - Mariánské Hory",27,27 m²
2+1,12500.0,"nábřeží Svazu protifašistických bojovníků, Ostrava - Poruba",57,57 m²
2+1,8700.0,"Opavská, Ostrava - Poruba",44,44 m²
2+1,10000.0,"Odborářská, Ostrava - Hrabůvka",50,50 m²
3+1,12000.0,"Svojsíkova, Ostrava - Poruba",64,64 m²
4+kk,18300.0,"Nivnická, Ostrava - Mariánské Hory",95,95 m²
2+kk,10500.0,"Husova, Ostrava - Moravská Ostrava",42,42 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+1,11900.0,"Alberta Kučery, Ostrava - Hrabůvka",59,59 m²
2+kk,9000.0,"Halasova, Ostrava - Vítkovice",60,60 m²
1+kk,5800.0,"Nádražní, Ostrava - Přívoz",28,28 m²
2+kk,19500.0,"náměstí Biskupa Bruna, Ostrava - Moravská Ostrava",58,58 m²
3+1,12000.0,"Patrice Lumumby, Ostrava - Zábřeh",59,59 m²
3+kk,20000.0,"Jindřichova, Ostrava - Moravská Ostrava",66,66 m²
2+1,9000.0,"Opavská, Ostrava - Poruba",55,55 m²
1+1,7400.0,"Josefa Brabce, Ostrava - Moravská Ostrava",41,41 m²
3+kk,15000.0,"Oblá, Ostrava - Mariánské Hory",70,70 m²
1+1,7500.0,"Senovážná, Ostrava - Moravská Ostrava",32,32 m²
3+kk,17600.0,"Lidická, Ostrava - Vítkovice",73,73 m²
2+1,9900.0,"Josefa Skupy, Ostrava - Poruba",56,56 m²
3+1,13900.0,"Josefa Skupy, Ostrava - Poruba",68,68 m²
2+kk,12000.0,"Petra Křičky, Ostrava - Moravská Ostrava",50,50 m²
3+kk,19000.0,"Hasičská, Ostrava - Hrabůvka",75,75 m²
4+1,19500.0,"Zelená, Ostrava",84,84 m²
2+1,12000.0,"Okružní, Vratimov",47,47 m²
3+1,10500.0,"Ivana Sekaniny, Ostrava - Poruba",72,72 m²
3+1,16000.0,"Pavlouskova, Ostrava - Poruba",67,67 m²
1+1,12109.0,"Na Fojtství, Ostrava - Hrabůvka",45,45 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+kk,29000.0,"Dlouhá, Ostrava - Moravská Ostrava",72,72 m²
4+kk,55000.0,"Keltičkova, Ostrava - Slezská Ostrava",145,145 m²
1+1,8900.0,"Solná, Ostrava - Moravská Ostrava",28,28 m²
3+1,14500.0,"Hlavní třída, Ostrava - Poruba",85,85 m²
3+kk,39000.0,"Blahoslavova, Ostrava - Moravská Ostrava",145,145 m²
4+kk,,"Biskupská, Ostrava - Moravská Ostrava",96,96 m²
2+1,8800.0,"Sarajevova, Ostrava - Zábřeh",48,48 m²
1+1,9000.0,"Svojsíkova, Ostrava - Poruba",27,27 m²
3+1,13000.0,"Zelená, Ostrava - Moravská Ostrava",62,62 m²
3+1,13500.0,"Lechowiczova, Ostrava - Moravská Ostrava",70,70 m²
3+1,11900.0,"Mozartova, Ostrava - Zábřeh",60,60 m²
2+1,12600.0,"Bohumínská, Ostrava - Slezská Ostrava",54,54 m²
3+kk,16439.0,"Špálova, Ostrava - Přívoz",96,96 m²
2+kk,12500.0,"Slavíkova, Ostrava - Poruba",37,37 m²
2+1,14118.0,"Mánesova, Ostrava - Moravská Ostrava",54,54 m²
2+1,10000.0,"Jana Maluchy, Ostrava - Dubina",40,40 m²
3+kk,15100.0,"Hlučínská, Ostrava",120,120 m²
1+kk,8000.0,"Španielova, Ostrava - Poruba",21,21 m²
3+kk,16000.0,"Obytná, Ostrava - Vítkovice",65,65 m²
1+1,13000.0,"Obytná, Ostrava - Vítkovice",50,50 m²
2+kk,14500.0,"Hany Kvapilové, Ostrava - Mariánské Hory",49,49 m²
2+kk,14000.0,"Obytná, Ostrava - Vítkovice",53,53 m²
2+1,10100.0,"Václava Jiřikovského, Ostrava - Dubina",44,44 m²
5+kk,33050.0,"30. dubna, Ostrava - Moravská Ostrava",147,147 m²
1+1,11200.0,"Nádražní, Ostrava",30,30 m²
1+kk,11000.0,"Plk. Rajmunda Prchaly, Ostrava",30,30 m²
2+1,12000.0,"Nádražní, Ostrava - Moravská Ostrava",86,86 m²
2+1,12900.0,"Francouzská, Ostrava - Poruba",54,54 m²
1+kk,7200.0,"Plzeňská, Ostrava - Zábřeh",23,23 m²
1+1,9125.0,"Vincence Makovského, Ostrava - Poruba",38,38 m²
3+1,23000.0,"Nádražní, Ostrava - Moravská Ostrava",69,69 m²
1+1,8900.0,"Mariánskohorská, Ostrava - Moravská Ostrava a Přívoz",39,39 m²
1+kk,7900.0,"Mariánskohorská, Ostrava - Moravská Ostrava a Přívoz",26,26 m²
2+kk,6900.0,"Nádražní, Ostrava - Přívoz",39,39 m²
